article	item-1-1	People are worried that AI will take everyone’s jobs. We’ve been here before.	MIT Technology Review	https://www.technologyreview.com/2024/01/27/1087041/technological-unemployment-elon-musk-jobs-ai/	no	https://wp.technologyreview.com/wp-content/uploads/2024/01/unemployment4f.jpg?fit=1080,607	Change Management	In a 1938 article, MIT’s president argued that technical progress didn’t mean fewer jobs. He’s still right.
article	item-1-2	Culture Reimagined: How Pharmaceutical Firms Can Use Data and AI with Confidence	Aspentech	https://files.taskade.com/attachments/80f90fc5-f08c-47e0-8be3-a8efb2d6d342/original/Culture%20Reimagined%20Report_by%20aspen%20tech.pdf	no	imgs/crr.PNG	Use Case	This report explains what leading companies are doing differently, finds out what is stopping other firms from emulating them and offers advice on how to break down those barriers.
article	item-1-3	Synthetic Imagery Sets new Bar in AI training efficiency	MIT News	https://news.mit.edu/2023/synthetic-imagery-sets-new-bar-ai-training-efficiency-1120	no	https://news.mit.edu/sites/default/files/styles/news_article__image_gallery/public/images/202311/StableRep2-transformed.png?itok=FkiVGv50	Use Case	MIT CSAIL researchers innovate with synthetic imagery to train AI, paving the way for more efficient and bias-reduced machine learning.
article	item-1-4	Wall Street Embraces AI despite risks of Catastrophe	VICE	https://www.vice.com/en/article/88xk8k/wall-street-embraces-ai-despite-risks-of-catastrophe	no	https://video-images.vice.com/articles/653850a3723ac073073ba0d4/lede/1698189481072-gettyimages-1220380097-1.jpeg?crop=1xw:1xh;center,center&resize=600:*	Use Case, News	The use of AI is being adopted in many financial institutions amid concerns, from every aspect including legal, fraud, cybersecurity, trading, loans, claims, and even email management
article	item-1-5	How AI Will Impact the Next Generation Workforce	Forbes	https://www.forbes.com/sites/kalinabryant/2023/05/31/how-ai-will-impact-the-next-generation-workforce/?sh=160b9a486fae	no	https://imageio.forbes.com/specials-images/imageserve/64778dca16b842165c0e1090/Digital-transformation-concept--System-engineering--Binary-code--Programming-/960x0.jpg?format=jpg&width=1440	Use Case, Business Potential	AI is transforming the workforce by promoting inclusivity and accessibility with technology, bridging the skills gap through equity, and removing biases during the hiring process.
article	item-1-6	How AI Can Help Humans Become More Human	TIME	https://time.com/6565048/ai-help-humans-become-more-human/	no	https://api.time.com/wp-content/uploads/2024/01/GettyImages-1910724443.jpg?quality=85&w=1920	Use Case	This article addresses how AI can assist people in developing habits and improving their mental and physical health through digital coaching. By studying individuals' preferences, AI can cater work plans to people.
article	item-1-7	Robots and Artificial Intelligence Overview	Intel	https://www.intel.com/content/www/us/en/robotics/artificial-intelligence-robotics.html	no	https://intelcorp.scene7.com/is/image/intelcorp/adobestock-441036255:1920-1080?src=is(intelcorp/adobestock-441036255:1920-1080)&wid=1920&hei=1080	Use Case	an overview of general robotics and artificial intelleqgence use cases
article	item-1-8	What is artificial intelligence (AI)?	IBM	https://www.ibm.com/topics/artificial-intelligence	no	imgs/ibm.PNG	Use Case	A more in depth look at the field of AI and how its being used
article	item-1-9	Artificial Intelligence What it is and why it matters	SAS	https://www.sas.com/en_us/insights/analytics/what-is-artificial-intelligence.html	no	imgs/sas.PNG	Use Case	An article depicting the different current use cases of AI
article	item-1-10	The implications of Generative AI for businesses	Deloitte	https://www2.deloitte.com/us/en/pages/consulting/articles/generative-artificial-intelligence.html	no	https://www2.deloitte.com/content/dam/Deloitte/us/Images/Misc/us-ai-institute-generative-ai-350x350.jpg	Business Potential, Use Cases	A reports on the adoption of AI into business competitions and commercialization.
